numero_proyecto,fecha_ingreso,iniciativa,proyecto_suma,numero_ley,fecha_publicacion
15879-06,2023-05-05,Mensaje,Modifica la ley N°21.325 para ampliar el plazo de privación de libertad para la materialización de las expulsiones administrativas,21590,2023-08-07
16024-21,2023-06-14,Mensaje,Suspende excepcionalmente la declaración de caducidades del registro pesquero artesanal con el fin de mitigar sus consecuencias económicas y sociales en el sector,21588,2023-07-21
15901-05,2023-05-10,Mensaje,Exime del impuesto al valor agregado a los servicios sanitarios rurales a que se refiere la ley N° 20.998,21581,2023-07-17
15784-33,2023-03-31,Moción,Modifica la ley N°21.435 para facilitar la regularización y el perfeccionamiento de los derechos de aprovechamiento de aguas,21586,2023-07-13
15667-33,2023-01-13,Moción,"Modifica la ley N°21.435, para ampliar el plazo establecido en el artículo segundo transitorio para la inscripción de los derechos de aprovechamiento de aguas",21586,2023-07-13
15858-04,2023-04-19,Moción,"Interpreta el artículo cuadragésimo segundo transitorio de la ley N° 21.040, que crea el Sistema de Educación Pública, con el objeto de proteger los ingresos de los trabajadores que indica traspasados a los Servicios Locales de Educación Pública",21583,2023-07-08
15806-04,2023-04-11,Moción,"Interpreta el artículo cuadragésimo segundo transitorio de la ley N° 21.040, que crea el Sistema de Educación Pública, con el objeto de proteger los ingresos de los trabajadores que indica traspasados a los Servicios Locales de Educación Pública",21583,2023-07-08
16000-13,2023-06-06,Mensaje,Establece un aporte extraordinario para incrementar el Bono Invierno 2023,21584,2023-06-22
15647-15,2023-01-04,Moción,"Modifica la ley N°18.290, de Tránsito, para habilitar una prórroga progresiva en la renovación de las licencias de conducir",21579,2023-06-16
15864-13,2023-04-24,Mensaje,"Reajusta el monto del ingreso mínimo mensual, aumenta el universo de beneficiarios y beneficiarias de la asignación familiar y maternal, y extiende el ingreso mínimo garantizado y el subsidio temporal a las micro, pequeñas y medianas empresas en la forma que indica",21578,2023-05-30
15663-22,2023-01-11,Moción,Modifica la Ley General de Bancos para asignar a Bomberos de Chile las acreencias a que ella se refiere,21572,2023-05-24
15793-05,2023-04-05,Mensaje,"Modifica la ley N°21.516, de Presupuesto de Ingresos y Gastos del Sector Público para el año 2023, y el DFL N°262, de 1977, del Ministerio de Hacienda, que Aprueba el Reglamento de Viáticos para el Personal de la Administración Pública",21573,2023-05-04
15821-07,2023-04-12,Moción,"Modifica la Carta Fundamental, en materia de paridad en el Consejo Constitucional",21574,2023-05-04
15823-06,2023-04-12,Moción,"Extiende la validez de los documentos de identidad que señala, para el solo efecto de identificar a los electores en las elecciones o plebiscitos que se realicen el periodo que indica",21569,2023-05-03
15824-06,2023-04-12,Mensaje,Permite el uso de cédulas de identidad y pasaportes que señala para efectos de identificar a los electores en las elecciones y plebiscitos que indica,21569,2023-05-03
15665-05,2023-01-16,Mensaje,"Impulsa medidas para la seguridad económica, incluyendo un aporte extraordinario para duplicar el Aporte Familiar Permanente en 2023; un incremento permanente en la Asignación Familiar y Maternal y en el Subsidio Único Familiar, y su automatización para las personas que indica, y la creación del Bolsillo Familiar Electrónico",21550,2023-03-25
15637-05,2023-01-04,Mensaje,"Repone el tratamiento tributario para los contratos de arrendamiento con opción de compra de bienes que impliquen una operación de financiamiento o leasing financieros, previo a la ley N°21.420, que reduce o elimina exenciones tributarias",21540,2023-02-15
15654-05,2023-01-09,Mensaje,Crea un Fondo de Garantías Especiales,21543,2023-02-13
15751-11,2023-03-20,Moción,"Modifica el decreto con fuerza de ley N° 1, de 2005, del Ministerio de Salud, para establecer la obligación de las isapres de informar a la Superintendencia de Salud el aumento del precio de sus planes",21700,2022-09-13
